nv,nb,nt,tt1,tr,tt2,tgpu,tcpu

128,32,512,0.043008,0.719872,0.042176,0.805056,-1.000000
256,128,512,0.088768,1.583584,0.222912,1.895264,-1.000000
512,512,512,0.316448,3.596032,0.834048,4.746528,-1.000000
1024,2048,512,0.924320,10.769120,2.709312,14.402752,-1.000000
2048,8192,512,3.485504,50.649151,11.265440,65.400093,-1.000000
4096,32768,512,13.833088,444.358093,43.949345,502.140533,-1.000000
8192,131072,512,113.648735,3343.262207,177.267334,3634.178223,-1.000000
16384,524288,512,497.676178,26131.705078,699.797302,27329.177734,-1.000000
32768,2097152,512,1737.104492,206176.671875,2808.513428,210722.296875,-1.000000
